start	end	text
0	2720	那我投个屏
2720	9440	稍微放大一下
9440	17680	其实我为什么做这个go sell club
17680	19460	其实只是想
19460	22440	因为我比较喜欢的两个人
22440	25240	是可能歌飞和动歌吧
25240	27040	动歌营销会比较好一些
27040	28220	然后歌飞的话
28220	31620	包括帮大家做一些出海
31620	33640	以及做社群
33640	34640	我觉得它比较好
34640	37980	然后就看能不能做X歌飞
37980	39380	对 这是我的想法
39380	42880	然后今天主要分三个点讲
42880	44520	一个是skills的优势
44520	45780	agent的一个优势
45780	47820	然后后面讲
47820	50900	我们那个github team的
50900	51840	有两个skills
51840	53580	然后还有个skills
53580	55380	集合战的pro怎么玩法
55380	60380	那我其实为什么有这个想法
60380	61800	skills和agents的优势
61800	67960	因为我之前去跟一些像screen studio
67960	72580	还有一些screen studio的一些前同事吧
72580	74800	然后去跟他们一线的一些聊
74800	77820	因为他们在做一些FDE这一块
77820	80380	他们会用到一些skills或者agents交付
80380	80880	对
80880	83880	然后skills我觉得重要的有两点
83880	86560	其实就是经验的固化一开源
86560	89680	但是这两点其实决定了它skills
89680	91280	其实是比较透明的
91280	92540	它是很难变现的
92540	97560	但是agents就是你可以这个两个词
97560	98960	都可以考虑一下
98960	102380	skills和agents就是大众看来
102380	104400	skills其实就是一个经验的固化
104400	106240	它就是一个开源的东西
106240	107400	它没必要付钱
107400	111120	但是agents它是一个更高维度的一个东西
111120	114660	虽然其实可能内部是某个skills
114660	117040	或者多个skills组成的一个东西
117040	120280	但是agents更容易出去说
120280	122720	更高大上所以更容易变现
122720	124140	这是我的一个想法
124140	127840	所以我们需要去把skills当作流量
127840	129840	把agents去当作产品
129840	134620	那为什么去当作流量
134620	139740	因为我其实跟我们有个群
139740	140940	包括动格
140940	143200	包括agents lynch的Neo
143200	146180	他们通过这两个skills
146180	149400	一个是DBS skills
149400	151100	一个是agents lynch
151100	154600	这两个分别赚到了七位数以上
154600	155840	间接赚到了
155840	157940	因为它是给他们带来客资
157940	160600	他们背后是有产品去承接的
160600	164240	所以skills现在只能作为流量
164240	166540	你背后是需要有一个产品
166540	167640	去进行承接的
167640	171740	所以他们大概可能变现了七位数以上
171740	172640	间接变现
172640	177240	那说回来skills作为流量怎么搞
177240	180040	我觉得分为几个部分吧
180040	182840	第一部分自己去做skills
182840	184340	那宝玉
184340	185600	扎拉张
185600	186280	龟杖
186280	187240	向阳乔木
187240	188440	这些
188440	189980	他们是自己做skills
189980	192180	当然他们有些也是奥创
192180	195480	就比如说龟杖的那个去AI化
195480	198940	那其实英文版其实还有一个去AI化的
198940	201580	那这两个谁是奥创的
201580	202540	我就不知道了
202540	203020	对吧
203020	206880	这个可以扒一下那个GitHub的一个历史
206880	208280	就是
208280	209620	然后第三个
209620	211340	其实是skills的集合推荐
211340	213600	这个其实X上也会有很多人做
213600	215480	我算是做的比较早的
215480	217540	我分成PPT skills
217540	218520	集合
218520	221180	还有各种的办公场景的集合
221180	222700	还有一些什么
222700	226340	一些什么视频制作的一些集合
226340	228820	这些都是搞流量的方法
228820	232180	那还有第四个是场景组合推荐
232180	234040	比如说某个场景
234040	236840	在X上怎么去发推文
236840	238580	那X上怎么发推文
238580	239140	我这里
239140	242680	其实这里面就是有一个场景的一个组合
242680	244440	就是在X上
244440	245580	你用Glock
245580	247720	现在有Glock COI
247720	251020	可以通过Glock去收集X的乐点
251020	255780	然后把Glock收集来的乐点进行创作
255780	257460	那这个创作你可以用
257460	261700	比如说现在文本创作可能更好的是CC的OPUS
261700	263960	那你可以通过这个文本创作
263960	265840	文本创作完了之后
265840	269460	再返回Glock进行一个创作的一个打分
269460	271060	打分完了之后
271060	274380	你再给到X发布
274380	276420	那X发布也有很多东西
276420	279820	比如说我这边可能会用TypeFoly
279820	282400	直接去推到TypeFoly
282400	284100	这个就是直接推到TypeFoly
284100	287980	然后你直接一键发布就可以了
287980	293480	这就是这个的一个场景的一个功能
293480	294960	其实就是Glock
294960	298160	CLI采集乐点
298160	305340	然后去OPUS4.6写作
305340	310580	然后再是Glock打分
310580	312460	优化
312460	317220	然后再去TypeFoly
317220	318500	一键发布
318500	321540	为什么要通过Glock
